year_id,period_id,origin,destination,period,start,end
78_2017,1,2,2,864000,2020-01-01,2020-01-11
78_2018,1,2,2,864000,2020-01-01,2020-01-11
83_2018,1,2,2,864000,2020-01-01,2020-01-11
91_2016,1,0,0,864000,2020-01-01,2020-01-11
91_2017,1,3,3,864000,2020-01-01,2020-01-11
91_2018,1,3,3,864000,2020-01-01,2020-01-11
94_2016,1,0,0,864000,2020-01-01,2020-01-11
95_2016,1,0,0,864000,2020-01-01,2020-01-11
95_2018,1,3,3,864000,2020-01-01,2020-01-11
95_2021,1,3,3,864000,2020-01-01,2020-01-11
96_2016,1,0,0,864000,2020-01-01,2020-01-11
96_2017,1,2,2,864000,2020-01-01,2020-01-11
98_2018,1,3,3,864000,2020-01-01,2020-01-11
99_2017,1,5,5,864000,2020-01-01,2020-01-11
99_2018,1,2,2,864000,2020-01-01,2020-01-11
99_2019,1,2,2,864000,2020-01-01,2020-01-11
102_2017,1,2,2,864000,2020-01-01,2020-01-11
108_2016,1,0,0,864000,2020-01-01,2020-01-11
108_2017,1,2,2,864000,2020-01-01,2020-01-11
108_2018,1,2,2,864000,2020-01-01,2020-01-11
108_2019,1,2,2,864000,2020-01-01,2020-01-11
108_2020,1,2,2,864000,2020-01-01,2020-01-11
108_2021,1,2,2,864000,2020-01-01,2020-01-11
108_2022,1,2,2,864000,2020-01-01,2020-01-11
108_2023,1,2,2,864000,2020-01-01,2020-01-11
113_2016,1,0,0,864000,2020-01-01,2020-01-11
113_2017,1,2,2,864000,2020-01-01,2020-01-11
113_2018,1,2,2,864000,2020-01-01,2020-01-11
113_2019,1,6,6,864000,2020-01-01,2020-01-11
113_2020,1,2,2,864000,2020-01-01,2020-01-11
113_2021,1,2,2,864000,2020-01-01,2020-01-11
119_2019,1,5,5,864000,2020-01-01,2020-01-11
123_2016,1,0,0,864000,2020-01-01,2020-01-11
127_2016,1,0,0,864000,2020-01-01,2020-01-11
127_2017,1,2,2,864000,2020-01-01,2020-01-11
127_2018,1,2,2,864000,2020-01-01,2020-01-11
128_2016,1,0,0,864000,2020-01-01,2020-01-11
137_2015,1,0,0,864000,2020-01-01,2020-01-11
